bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/382493,14-07-2026,41334.46,RZRPY/REF1044,1044
NEFT/2026/605896,05-07-2026,12339.33,RZRPY/REF1045,1045
NEFT/2026/127453,02-07-2026,33367.1,RZRPY/REF1046,1046
NEFT/2026/836350,06-07-2026,151.13,RZRPY/REF1047,1047
NEFT/2026/254500,03-07-2026,14795.46,RZRPY/REF1048,1048
NEFT/2026/014877,19-07-2026,26769,RZRPY/REF1049,1049
NEFT/2026/622066,17-07-2026,3346.63,RZRPY/REF1050,1050
NEFT/2026/894575,09-07-2026,7044.54,RZRPY/REF1051,1051
NEFT/2026/443119,01-07-2026,512,RZRPY/REF1052,1052
NEFT/2026/938406,07-07-2026,554.79,RZRPY/REF1053,1053
NEFT/2026/922667,12-07-2026,4943.22,RZRPY/REF1054,1054
NEFT/2026/029592,26-07-2026,1070.4,RZRPY/REF1055,1055
NEFT/2026/244511,31-07-2026,45588.51,RZRPY/REF1056,1056
NEFT/2026/812285,05-07-2026,344.84,RZRPY/REF1057,1057
NEFT/2026/595029,17-07-2026,539.19,RZRPY/REF1058,1058
NEFT/2026/665846,27-07-2026,40844.77,RZRPY/REF1059,1059
NEFT/2026/155933,06-07-2026,766.37,RZRPY/REF1060,1060
NEFT/2026/252692,03-07-2026,949.6,RZRPY/REF1061,1061
NEFT/2026/549703,19-07-2026,4867.65,RZRPY/REF1062,1062
NEFT/2026/515798,29-07-2026,7137.92,RZRPY/REF1063,1063
NEFT/2026/026333,29-07-2026,886.37,RZRPY/REF1064,1064
NEFT/2026/181424,26-07-2026,10991.45,RZRPY/REF1065,1065
NEFT/2026/237498,26-07-2026,936.8,RZRPY/REF1066,1066
NEFT/2026/826886,06-07-2026,1972.75,RZRPY/REF1067,1067
NEFT/2026/373284,07-07-2026,834.11,RZRPY/REF1068,1068
NEFT/2026/291089,01-07-2026,693.37,RZRPY/REF1069,1069
NEFT/2026/799187,12-07-2026,49245.99,RZRPY/REF1070,1070
NEFT/2026/198386,31-07-2026,20448.61,RZRPY/REF1071,1071
NEFT/2026/957324,02-07-2026,4910.64,RZRPY/REF1072,1072
NEFT/2026/972837,20-07-2026,984.83,RZRPY/REF1073,1073
NEFT/2026/712804,02-07-2026,47023.01,RZRPY/REF1074,1074
NEFT/2026/513123,12-07-2026,46830.83,RZRPY/REF1075,1075
NEFT/2026/710154,22-07-2026,7477.07,RZRPY/REF1076,1076
NEFT/2026/789841,11-07-2026,3660.6,RZRPY/REF1077,1077
NEFT/2026/824754,22-07-2026,2566.07,RZRPY/REF1078,1078
NEFT/2026/221342,27-07-2026,27195.53,RZRPY/REF1079,1079
NEFT/2026/739037,21-07-2026,37025.09,RZRPY/REF1080,1080
NEFT/2026/017252,26-07-2026,910.16,RZRPY/REF1081,1081
NEFT/2026/658133,17-07-2026,696.8,RZRPY/REF1082,1082
NEFT/2026/597306,08-07-2026,2326.04,RZRPY/REF1083,1083
NEFT/2026/567426,28-07-2026,45445.48,RZRPY/REF1084,1084
NEFT/2026/951951,23-07-2026,19759.38,RZRPY/REF1085,1085
NEFT/2026/920750,29-07-2026,7929.65,RZRPY/REF1086,1086
NEFT/2026/079139,06-07-2026,28582,RZRPY/REF1087,1087
NEFT/2026/415068,30-07-2026,42056.66,RZRPY/REF1088,1088
NEFT/2026/776400,18-07-2026,45657.04,RZRPY/REF1089,1089
NEFT/2026/771517,14-07-2026,45888.32,RZRPY/REF1090,1090
NEFT/2026/164295,15-07-2026,35506.46,RZRPY/REF1091,1091
NEFT/2026/273218,21-07-2026,315.08,RZRPY/REF1092,1092
NEFT/2026/374168,11-07-2026,387.42,RZRPY/REF1093,1093
NEFT/2026/278492,23-07-2026,2925.36,RZRPY/REF1094,1094
NEFT/2026/263931,15-07-2026,26805.74,RZRPY/REF1095,1095
NEFT/2026/078751,28-07-2026,6180.64,RZRPY/REF1096,1096
NEFT/2026/186631,25-07-2026,43429.15,RZRPY/REF1097,1097
NEFT/2026/160168,26-07-2026,2984.63,RZRPY/REF1098,1098
NEFT/2026/635907,01-07-2026,41925.69,RZRPY/REF1099,1099
NEFT/2026/786658,27-07-2026,520.18,RZRPY/REF1100,1100
NEFT/2026/551194,19-07-2026,607.39,RZRPY/REF1101,1101
NEFT/2026/891357,06-07-2026,4411.56,RZRPY/REF1102,1102
NEFT/2026/169184,25-07-2026,3504.03,RZRPY/REF1103,1103
NEFT/2026/122121,27-07-2026,1174.43,RZRPY/REF1104,1104
NEFT/2026/357364,21-07-2026,161.69,RZRPY/REF1105,1105
NEFT/2026/314450,07-07-2026,6591.4,RZRPY/REF1106,1106
NEFT/2026/574220,19-07-2026,5184.84,RZRPY/REF1107,1107
NEFT/2026/020265,20-07-2026,645.92,RZRPY/REF1108,1108
NEFT/2026/891285,04-07-2026,9359.06,RZRPY/REF1109,1109
NEFT/2026/141973,31-07-2026,37624.58,RZRPY/REF1110,1110
NEFT/2026/624707,04-07-2026,726.78,RZRPY/REF1111,1111
NEFT/2026/279014,26-07-2026,136.92,RZRPY/REF1112,1112
NEFT/2026/863439,21-07-2026,406.77,RZRPY/REF1113,1113
NEFT/2026/732848,31-07-2026,425.61,RZRPY/REF1114,1114
NEFT/2026/987457,06-07-2026,20803.3,RZRPY/REF1115,1115
NEFT/2026/012554,15-07-2026,491.58,RZRPY/REF1116,1116
NEFT/2026/559332,09-07-2026,28588.34,RZRPY/REF1117,1117
NEFT/2026/231171,11-07-2026,125.8,RZRPY/REF1118,1118
NEFT/2026/506974,26-07-2026,3516.65,RZRPY/REF1119,1119
NEFT/2026/759253,01-07-2026,2719.32,RZRPY/REF1120,1120
NEFT/2026/748303,18-07-2026,7214.79,RZRPY/REF1121,1121
NEFT/2026/374256,26-07-2026,115.5,RZRPY/REF1122,1122
NEFT/2026/684716,22-07-2026,5258.87,RZRPY/REF1123,1123
NEFT/2026/764628,11-07-2026,416.28,RZRPY/REF1124,1124
NEFT/2026/141158,24-07-2026,31434.56,RZRPY/REF1125,1125
NEFT/2026/268810,07-07-2026,38983.4,RZRPY/REF1126,1126
NEFT/2026/830285,10-07-2026,8492.82,RZRPY/REF1127,1127
NEFT/2026/691714,10-07-2026,112.72,RZRPY/REF1128,1128
NEFT/2026/896436,10-07-2026,2136.39,RZRPY/REF1129,1129
NEFT/2026/361722,28-07-2026,3558.77,RZRPY/REF1130,1130
NEFT/2026/944982,31-07-2026,146.19,RZRPY/REF1131,1131
NEFT/2026/815237,16-07-2026,166.6,RZRPY/REF1132,1132
NEFT/2026/304251,31-07-2026,9944.27,RZRPY/REF1133,1133
NEFT/2026/038142,20-07-2026,3030.96,RZRPY/REF1134,1134
NEFT/2026/095801,10-07-2026,22215.21,RZRPY/REF1135,1135
NEFT/2026/168749,20-07-2026,40509.48,RZRPY/REF1136,1136
NEFT/2026/206845,09-07-2026,693.72,RZRPY/REF1137,1137
NEFT/2026/585189,01-07-2026,467.26,RZRPY/REF1138,1138
NEFT/2026/310776,10-07-2026,28161.25,RZRPY/REF1139,1139
NEFT/2026/483397,30-07-2026,337.83,RZRPY/REF1140,1140
NEFT/2026/911013,04-07-2026,589.56,RZRPY/REF1141,1141
NEFT/2026/046014,02-07-2026,39958.31,RZRPY/REF1142,1142
NEFT/2026/942846,15-07-2026,7197.41,RZRPY/REF1143,1143
NEFT/2026/527177,18-07-2026,1723.9,RZRPY/REF1144,1144
NEFT/2026/136053,20-07-2026,48476.44,RZRPY/REF1145,1145
NEFT/2026/239219,31-07-2026,42856.85,RZRPY/REF1146,1146
NEFT/2026/865671,25-07-2026,5234.04,RZRPY/REF1147,1147
NEFT/2026/673674,19-07-2026,8327.39,RZRPY/REF1148,1148
NEFT/2026/473649,14-07-2026,7030.53,RZRPY/REF1149,1149
NEFT/2026/881553,14-07-2026,3073.65,UNKNOWN/CREDIT,41944
NEFT/2026/895062,14-07-2026,3086.65,UNKNOWN/CREDIT,277365
NEFT/2026/560795,03-07-2026,4967.11,UNKNOWN/CREDIT,396527
