bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/836350,2026-07-06,151.13,RZRPY/REF1047,1047
NEFT/2026/254500,2026-07-03,14795.46,RZRPY/REF1048,1048
NEFT/2026/014877,2026-07-19,26769.0,RZRPY/REF1049,1049
NEFT/2026/622066,2026-07-17,3346.63,RZRPY/REF1050,1050
NEFT/2026/894575,2026-07-09,7044.54,RZRPY/REF1051,1051
NEFT/2026/443119,2026-07-01,512.0,RZRPY/REF1052,1052
NEFT/2026/938406,2026-07-07,554.79,RZRPY/REF1053,1053
NEFT/2026/922667,2026-07-12,4943.22,RZRPY/REF1054,1054
NEFT/2026/029592,2026-07-26,1070.4,RZRPY/REF1055,1055
NEFT/2026/244511,2026-07-31,45588.51,RZRPY/REF1056,1056
NEFT/2026/812285,2026-07-05,344.84,RZRPY/REF1057,1057
NEFT/2026/595029,2026-07-17,539.19,RZRPY/REF1058,1058
NEFT/2026/665846,2026-07-27,40844.77,RZRPY/REF1059,1059
NEFT/2026/155933,2026-07-06,766.37,RZRPY/REF1060,1060
NEFT/2026/252692,2026-07-03,949.6,RZRPY/REF1061,1061
NEFT/2026/549703,2026-07-19,4867.65,RZRPY/REF1062,1062
NEFT/2026/515798,2026-07-29,7137.92,RZRPY/REF1063,1063
NEFT/2026/026333,2026-07-29,886.37,RZRPY/REF1064,1064
NEFT/2026/181424,2026-07-26,10991.45,RZRPY/REF1065,1065
NEFT/2026/237498,2026-07-26,936.8,RZRPY/REF1066,1066
NEFT/2026/826886,2026-07-06,1972.75,RZRPY/REF1067,1067
NEFT/2026/373284,2026-07-07,834.11,RZRPY/REF1068,1068
NEFT/2026/291089,2026-07-01,693.37,RZRPY/REF1069,1069
NEFT/2026/799187,2026-07-12,49245.99,RZRPY/REF1070,1070
NEFT/2026/198386,2026-07-31,20448.61,RZRPY/REF1071,1071
NEFT/2026/957324,2026-07-02,4910.64,RZRPY/REF1072,1072
NEFT/2026/972837,2026-07-20,984.83,RZRPY/REF1073,1073
NEFT/2026/712804,2026-07-02,47023.01,RZRPY/REF1074,1074
NEFT/2026/513123,2026-07-12,46830.83,RZRPY/REF1075,1075
NEFT/2026/710154,2026-07-22,7477.07,RZRPY/REF1076,1076
NEFT/2026/789841,2026-07-11,3660.6,RZRPY/REF1077,1077
NEFT/2026/824754,2026-07-22,2566.07,RZRPY/REF1078,1078
NEFT/2026/221342,2026-07-27,27195.53,RZRPY/REF1079,1079
NEFT/2026/739037,2026-07-21,37025.09,RZRPY/REF1080,1080
NEFT/2026/017252,2026-07-26,910.16,RZRPY/REF1081,1081
NEFT/2026/658133,2026-07-17,696.8,RZRPY/REF1082,1082
NEFT/2026/597306,2026-07-08,2326.04,RZRPY/REF1083,1083
NEFT/2026/567426,2026-07-28,45445.48,RZRPY/REF1084,1084
NEFT/2026/951951,2026-07-23,19759.38,RZRPY/REF1085,1085
NEFT/2026/920750,2026-07-29,7929.65,RZRPY/REF1086,1086
NEFT/2026/079139,2026-07-06,28582.0,RZRPY/REF1087,1087
NEFT/2026/415068,2026-07-30,42056.66,RZRPY/REF1088,1088
NEFT/2026/776400,2026-07-18,45657.04,RZRPY/REF1089,1089
NEFT/2026/771517,2026-07-14,45888.32,RZRPY/REF1090,1090
NEFT/2026/164295,2026-07-15,35506.46,RZRPY/REF1091,1091
NEFT/2026/273218,2026-07-21,315.08,RZRPY/REF1092,1092
NEFT/2026/374168,2026-07-11,387.42,RZRPY/REF1093,1093
NEFT/2026/278492,2026-07-23,2925.36,RZRPY/REF1094,1094
NEFT/2026/263931,2026-07-15,26805.74,RZRPY/REF1095,1095
NEFT/2026/078751,2026-07-28,6180.64,RZRPY/REF1096,1096
NEFT/2026/186631,2026-07-25,43429.15,RZRPY/REF1097,1097
NEFT/2026/160168,2026-07-26,2984.63,RZRPY/REF1098,1098
NEFT/2026/635907,2026-07-01,41925.69,RZRPY/REF1099,1099
NEFT/2026/786658,2026-07-27,520.18,RZRPY/REF1100,1100
NEFT/2026/551194,2026-07-19,607.39,RZRPY/REF1101,1101
NEFT/2026/891357,2026-07-06,4411.56,RZRPY/REF1102,1102
NEFT/2026/169184,2026-07-25,3504.03,RZRPY/REF1103,1103
NEFT/2026/122121,2026-07-27,1174.43,RZRPY/REF1104,1104
NEFT/2026/357364,2026-07-21,161.69,RZRPY/REF1105,1105
NEFT/2026/314450,2026-07-07,6591.4,RZRPY/REF1106,1106
NEFT/2026/574220,2026-07-19,5184.84,RZRPY/REF1107,1107
NEFT/2026/020265,2026-07-20,645.92,RZRPY/REF1108,1108
NEFT/2026/891285,2026-07-04,9359.06,RZRPY/REF1109,1109
NEFT/2026/141973,2026-07-31,37624.58,RZRPY/REF1110,1110
NEFT/2026/624707,2026-07-04,726.78,RZRPY/REF1111,1111
NEFT/2026/279014,2026-07-26,136.92,RZRPY/REF1112,1112
NEFT/2026/863439,2026-07-21,406.77,RZRPY/REF1113,1113
NEFT/2026/732848,2026-07-31,425.61,RZRPY/REF1114,1114
NEFT/2026/987457,2026-07-06,20803.3,RZRPY/REF1115,1115
NEFT/2026/012554,2026-07-15,491.58,RZRPY/REF1116,1116
NEFT/2026/559332,2026-07-09,28588.34,RZRPY/REF1117,1117
NEFT/2026/231171,2026-07-11,125.8,RZRPY/REF1118,1118
NEFT/2026/506974,2026-07-26,3516.65,RZRPY/REF1119,1119
NEFT/2026/759253,2026-07-01,2719.32,RZRPY/REF1120,1120
NEFT/2026/748303,2026-07-18,7214.79,RZRPY/REF1121,1121
NEFT/2026/374256,2026-07-26,115.5,RZRPY/REF1122,1122
NEFT/2026/684716,2026-07-22,5258.87,RZRPY/REF1123,1123
NEFT/2026/764628,2026-07-11,416.28,RZRPY/REF1124,1124
NEFT/2026/141158,2026-07-24,31434.56,RZRPY/REF1125,1125
NEFT/2026/268810,2026-07-07,38983.4,RZRPY/REF1126,1126
NEFT/2026/830285,2026-07-10,8492.82,RZRPY/REF1127,1127
NEFT/2026/691714,2026-07-10,112.72,RZRPY/REF1128,1128
NEFT/2026/896436,2026-07-10,2136.39,RZRPY/REF1129,1129
NEFT/2026/361722,2026-07-28,3558.77,RZRPY/REF1130,1130
NEFT/2026/944982,2026-07-31,146.19,RZRPY/REF1131,1131
NEFT/2026/815237,2026-07-16,166.6,RZRPY/REF1132,1132
NEFT/2026/304251,2026-07-31,9944.27,RZRPY/REF1133,1133
NEFT/2026/038142,2026-07-20,3030.96,RZRPY/REF1134,1134
NEFT/2026/095801,2026-07-10,22215.21,RZRPY/REF1135,1135
NEFT/2026/168749,2026-07-20,40509.48,RZRPY/REF1136,1136
NEFT/2026/206845,2026-07-09,693.72,RZRPY/REF1137,1137
NEFT/2026/585189,2026-07-01,467.26,RZRPY/REF1138,1138
NEFT/2026/310776,2026-07-10,28161.25,RZRPY/REF1139,1139
NEFT/2026/483397,2026-07-30,337.83,RZRPY/REF1140,1140
NEFT/2026/911013,2026-07-04,589.56,RZRPY/REF1141,1141
NEFT/2026/046014,2026-07-02,39958.31,RZRPY/REF1142,1142
NEFT/2026/942846,2026-07-15,7197.41,RZRPY/REF1143,1143
NEFT/2026/527177,2026-07-18,1723.9,RZRPY/REF1144,1144
NEFT/2026/136053,2026-07-20,48476.44,RZRPY/REF1145,1145
NEFT/2026/239219,2026-07-31,42856.85,RZRPY/REF1146,1146
NEFT/2026/865671,2026-07-25,5234.04,RZRPY/REF1147,1147
NEFT/2026/673674,2026-07-19,8327.39,RZRPY/REF1148,1148
NEFT/2026/473649,2026-07-14,7030.53,RZRPY/REF1149,1149
NEFT/2026/881553,2026-07-14,3073.65,UNKNOWN/CREDIT,041944
NEFT/2026/895062,2026-07-14,3086.65,UNKNOWN/CREDIT,277365
NEFT/2026/560795,2026-07-03,4967.11,UNKNOWN/CREDIT,396527
