bank_ref,value_date,credit_amount,description,utr_number
NEFT/2026/AUG2055,2026-08-02,885.77,RZRPY/REF2055,AUG_2055
NEFT/2026/AUG2056,2026-08-10,6310.0,RZRPY/REF2056,AUG_2056
NEFT/2026/AUG2057,2026-08-08,5674.52,RZRPY/REF2057,AUG_2057
NEFT/2026/AUG2058,2026-08-25,25989.42,RZRPY/REF2058,AUG_2058
NEFT/2026/AUG2059,2026-08-09,5059.73,RZRPY/REF2059,AUG_2059
NEFT/2026/AUG2060,2026-08-28,814.23,RZRPY/REF2060,AUG_2060
NEFT/2026/AUG2061,2026-08-23,557.92,RZRPY/REF2061,AUG_2061
NEFT/2026/AUG2062,2026-08-09,449.87,RZRPY/REF2062,AUG_2062
NEFT/2026/AUG2063,2026-08-19,22342.41,RZRPY/REF2063,AUG_2063
NEFT/2026/AUG2064,2026-08-02,591.88,RZRPY/REF2064,AUG_2064
NEFT/2026/AUG2065,2026-08-16,4572.37,RZRPY/REF2065,AUG_2065
NEFT/2026/AUG2066,2026-08-26,2392.43,RZRPY/REF2066,AUG_2066
NEFT/2026/AUG2067,2026-08-06,7044.24,RZRPY/REF2067,AUG_2067
NEFT/2026/AUG2068,2026-08-21,155.67,RZRPY/REF2068,AUG_2068
NEFT/2026/AUG2069,2026-08-28,26739.8,RZRPY/REF2069,AUG_2069
NEFT/2026/AUG2070,2026-08-28,6795.21,RZRPY/REF2070,AUG_2070
NEFT/2026/AUG2071,2026-08-17,5300.18,RZRPY/REF2071,AUG_2071
NEFT/2026/AUG2072,2026-08-01,44993.6,RZRPY/REF2072,AUG_2072
NEFT/2026/AUG2073,2026-08-09,236.58,RZRPY/REF2073,AUG_2073
NEFT/2026/AUG2074,2026-08-03,506.4,RZRPY/REF2074,AUG_2074
NEFT/2026/AUG2075,2026-08-10,870.49,RZRPY/REF2075,AUG_2075
NEFT/2026/AUG2076,2026-08-23,644.51,RZRPY/REF2076,AUG_2076
NEFT/2026/AUG2077,2026-08-28,18373.57,RZRPY/REF2077,AUG_2077
NEFT/2026/AUG2078,2026-08-23,2293.74,RZRPY/REF2078,AUG_2078
NEFT/2026/AUG2079,2026-08-17,42864.25,RZRPY/REF2079,AUG_2079
NEFT/2026/AUG2080,2026-08-16,709.5,RZRPY/REF2080,AUG_2080
NEFT/2026/AUG2081,2026-08-11,5766.41,RZRPY/REF2081,AUG_2081
NEFT/2026/AUG2082,2026-08-23,486.19,RZRPY/REF2082,AUG_2082
NEFT/2026/AUG2083,2026-08-11,25170.6,RZRPY/REF2083,AUG_2083
NEFT/2026/AUG2084,2026-08-08,6940.71,RZRPY/REF2084,AUG_2084
NEFT/2026/AUG2085,2026-08-17,788.76,RZRPY/REF2085,AUG_2085
NEFT/2026/AUG2086,2026-08-05,32924.76,RZRPY/REF2086,AUG_2086
NEFT/2026/AUG2087,2026-08-22,1208.83,RZRPY/REF2087,AUG_2087
NEFT/2026/AUG2088,2026-08-14,626.51,RZRPY/REF2088,AUG_2088
NEFT/2026/AUG2089,2026-08-01,564.35,RZRPY/REF2089,AUG_2089
NEFT/2026/AUG2090,2026-08-26,7189.5,RZRPY/REF2090,AUG_2090
NEFT/2026/AUG2091,2026-08-18,6113.15,RZRPY/REF2091,AUG_2091
NEFT/2026/AUG2092,2026-08-02,19957.66,RZRPY/REF2092,AUG_2092
NEFT/2026/AUG2093,2026-08-11,5743.6,RZRPY/REF2093,AUG_2093
NEFT/2026/AUG2094,2026-08-24,7715.94,RZRPY/REF2094,AUG_2094
NEFT/2026/AUG2095,2026-08-25,1811.11,RZRPY/REF2095,AUG_2095
NEFT/2026/AUG2096,2026-08-04,484.99,RZRPY/REF2096,AUG_2096
NEFT/2026/AUG2097,2026-08-07,2207.84,RZRPY/REF2097,AUG_2097
NEFT/2026/AUG2098,2026-08-28,802.36,RZRPY/REF2098,AUG_2098
NEFT/2026/AUG2099,2026-08-03,418.74,RZRPY/REF2099,AUG_2099
NEFT/2026/AUG2100,2026-08-02,5622.83,RZRPY/REF2100,AUG_2100
NEFT/2026/AUG2101,2026-08-02,5554.22,RZRPY/REF2101,AUG_2101
NEFT/2026/AUG2102,2026-08-18,487.33,RZRPY/REF2102,AUG_2102
NEFT/2026/AUG2103,2026-08-14,254.02,RZRPY/REF2103,AUG_2103
NEFT/2026/AUG2104,2026-08-28,34067.37,RZRPY/REF2104,AUG_2104
NEFT/2026/AUG2105,2026-08-21,26731.47,RZRPY/REF2105,AUG_2105
NEFT/2026/AUG2106,2026-08-09,17684.36,RZRPY/REF2106,AUG_2106
NEFT/2026/AUG2107,2026-08-22,601.46,RZRPY/REF2107,AUG_2107
NEFT/2026/AUG2108,2026-08-26,20069.89,RZRPY/REF2108,AUG_2108
NEFT/2026/AUG2109,2026-08-16,721.97,RZRPY/REF2109,AUG_2109
NEFT/2026/AUG2110,2026-08-08,34023.09,RZRPY/REF2110,AUG_2110
NEFT/2026/AUG2111,2026-08-28,45974.15,RZRPY/REF2111,AUG_2111
NEFT/2026/AUG2112,2026-08-20,763.88,RZRPY/REF2112,AUG_2112
NEFT/2026/AUG2113,2026-08-28,837.8,RZRPY/REF2113,AUG_2113
NEFT/2026/AUG2114,2026-08-23,43553.22,RZRPY/REF2114,AUG_2114
NEFT/2026/AUG2115,2026-08-02,41943.06,RZRPY/REF2115,AUG_2115
NEFT/2026/AUG2116,2026-08-14,1966.17,RZRPY/REF2116,AUG_2116
NEFT/2026/AUG2117,2026-08-23,762.75,RZRPY/REF2117,AUG_2117
NEFT/2026/AUG2118,2026-08-11,800.51,RZRPY/REF2118,AUG_2118
NEFT/2026/AUG2119,2026-08-09,27315.18,RZRPY/REF2119,AUG_2119
NEFT/2026/AUG2120,2026-08-08,583.96,RZRPY/REF2120,AUG_2120
NEFT/2026/AUG2121,2026-08-28,532.84,RZRPY/REF2121,AUG_2121
NEFT/2026/AUG2122,2026-08-15,925.71,RZRPY/REF2122,AUG_2122
NEFT/2026/AUG2123,2026-08-07,45521.66,RZRPY/REF2123,AUG_2123
NEFT/2026/AUG2124,2026-08-27,33401.78,RZRPY/REF2124,AUG_2124
NEFT/2026/AUG2125,2026-08-10,2331.48,RZRPY/REF2125,AUG_2125
NEFT/2026/AUG2126,2026-08-13,46117.92,RZRPY/REF2126,AUG_2126
NEFT/2026/AUG2127,2026-08-16,485.71,RZRPY/REF2127,AUG_2127
NEFT/2026/AUG2128,2026-08-27,2041.81,RZRPY/REF2128,AUG_2128
NEFT/2026/AUG2129,2026-08-20,694.44,RZRPY/REF2129,AUG_2129
NEFT/2026/AUG2130,2026-08-02,32626.18,RZRPY/REF2130,AUG_2130
NEFT/2026/AUG2131,2026-08-11,1591.2,RZRPY/REF2131,AUG_2131
NEFT/2026/AUG2132,2026-08-17,777.27,RZRPY/REF2132,AUG_2132
NEFT/2026/AUG2133,2026-08-20,4087.7,RZRPY/REF2133,AUG_2133
NEFT/2026/AUG2134,2026-08-22,35050.53,RZRPY/REF2134,AUG_2134
NEFT/2026/GHOST_100,2026-08-20,23029.86,DIRECT_DEPOSIT_CLIENT_1,GHOST_100
NEFT/2026/GHOST_101,2026-08-16,17341.25,DIRECT_DEPOSIT_CLIENT_2,GHOST_101
NEFT/2026/GHOST_102,2026-08-12,12855.0,DIRECT_DEPOSIT_CLIENT_3,GHOST_102
NEFT/2026/GHOST_103,2026-08-25,12198.55,DIRECT_DEPOSIT_CLIENT_4,GHOST_103
NEFT/2026/GHOST_104,2026-08-27,7919.86,DIRECT_DEPOSIT_CLIENT_5,GHOST_104
NEFT/2026/GHOST_105,2026-08-24,32919.37,DIRECT_DEPOSIT_CLIENT_6,GHOST_105
NEFT/2026/GHOST_106,2026-08-09,13720.63,DIRECT_DEPOSIT_CLIENT_7,GHOST_106
NEFT/2026/GHOST_107,2026-08-21,18330.17,DIRECT_DEPOSIT_CLIENT_8,GHOST_107
