bank_ref,value_date,credit_amount,description,utr_number
NEFT/2025/199059,23-03-2025,16341.12,RZRPY/REF3036,3036
NEFT/2025/903508,17-03-2025,1026.21,RZRPY/REF3037,3037
NEFT/2025/823598,21-03-2025,51306.11,RZRPY/REF3038,3038
NEFT/2025/197172,07-03-2025,10998.84,RZRPY/REF3040,3040
NEFT/2025/496766,14-03-2025,2851.23,RZRPY/REF3041,3041
NEFT/2025/439161,24-03-2025,41364.43,RZRPY/REF3042,3042
NEFT/2025/492407,03-03-2025,20353.67,RZRPY/REF3043,3043
NEFT/2025/688486,25-03-2025,26524.78,RZRPY/REF3044,3044
NEFT/2025/829770,09-03-2025,31602.8,RZRPY/REF3051,3051
NEFT/2025/825060,19-03-2025,17061.23,RZRPY/REF3052,3052
NEFT/2025/402683,16-03-2025,1262.52,RZRPY/REF3053,3053
NEFT/2025/915357,11-03-2025,14888.52,RZRPY/REF3054,3054
NEFT/2025/675259,15-03-2025,18964.73,RZRPY/REF3055,3055
NEFT/2025/242925,01-03-2025,23178.31,RZRPY/REF3056,3056
NEFT/2025/387626,24-03-2025,22542.3,RZRPY/REF3057,3057
NEFT/2025/908744,19-03-2025,13625.2,RZRPY/REF3058,3058
NEFT/2025/903921,01-03-2025,3870.72,RZRPY/REF3059,3059
NEFT/2025/648092,24-03-2025,26847.72,RZRPY/REF3060,3060
NEFT/2025/266860,09-03-2025,16336.0,RZRPY/REF3061,3061
NEFT/2025/498266,20-03-2025,2087.66,RZRPY/REF3062,3062
NEFT/2025/124147,11-03-2025,29295.24,RZRPY/REF3063,3063
NEFT/2025/387618,01-03-2025,33040.7,RZRPY/REF3064,3064
NEFT/2025/558723,22-03-2025,12113.91,RZRPY/REF3065,3065
NEFT/2025/602445,13-03-2025,13169.79,RZRPY/REF3066,3066
NEFT/2025/826577,27-03-2025,15704.69,RZRPY/REF3067,3067
NEFT/2025/599781,26-03-2025,15844.04,RZRPY/REF3068,3068
NEFT/2025/851115,12-03-2025,1663.7,RZRPY/REF3069,3069
NEFT/2025/278059,12-03-2025,21941.22,RZRPY/REF3070,3070
NEFT/2025/544919,18-03-2025,28949.08,RZRPY/REF3071,3071
NEFT/2025/319046,02-03-2025,658.7,RZRPY/REF3072,3072
NEFT/2025/542383,11-03-2025,25954.95,RZRPY/REF3073,3073
NEFT/2025/583848,28-03-2025,15794.99,RZRPY/REF3074,3074
NEFT/2025/722481,26-03-2025,1144.08,RZRPY/REF3075,3075
NEFT/2025/597152,08-03-2025,30107.67,RZRPY/REF3076,3076
NEFT/2025/246718,19-03-2025,10806.93,RZRPY/REF3077,3077
NEFT/2025/945540,12-03-2025,33999.83,RZRPY/REF3078,3078
NEFT/2025/235259,04-03-2025,32429.38,RZRPY/REF3079,3079
NEFT/2025/404055,16-03-2025,29882.04,RZRPY/REF3080,3080
NEFT/2025/786088,15-03-2025,25000.00,DIRECT_NEFT_PAYOUT_UNTAGGED,999991
NEFT/2025/735453,20-03-2025,12450.50,MISC_INWARD_SETTLEMENT,999992
